price_in_rp,title,district,city,facilities,property_type,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,building_age,year_built,property_condition,building_orientation,garages,furnishing,price_in_rp_bin,price_in_rp_bin_enc,building_size_m2_bin,building_size_m2_bin_enc,Target
125000000.0,Rumah mewah Sertategis di Jatiasih Bekasi,Summarecon Bekasi, Bekasi,Taman,rumah,3.0,1.0,110.0,110.0,0.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,2.0,0.0,2022.0,baru,barat,0.0,unfurnished,Rendah,0,Sedang,2,2
1980000000.0,Rumah Siap Huni di Summarecon Bekasi,Summarecon Bekasi, Bekasi,"Tempat Jemuran,  Jogging Track,  Track Lari,  One Gate System,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV, Ac, Taman,  Playground, Lapangan Voli, AC,  Keamanan, Lapangan Basket",rumah,2.0,2.0,119.0,98.0,1.0,shm - sertifikat hak milik,3500 mah,0.0,0.0,2.0,2.0,2020.0,bagus,utara,1.0,semi furnished,Rendah,0,Sedang,2,3
480000000.0,Rumah minimalis termurah di jatiasih bekasi,Summarecon Bekasi, Bekasi,"Keamanan, Taman",rumah,2.0,1.0,55.0,30.000000000000007,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,selatan,0.0,unfurnished,Rendah,0,Rendah,0,2
300000000.0,"Rumah murah di Bekasi, gabus tambun utara Dekat Akses Toll Cilincing-cibitung",Bekasi, Bekasi," Taman, Ac, AC,  Masjid, Jalur Telepon,  Keamanan",rumah,2.0,1.0,60.0,36.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,timur,0.0,semi furnished,Rendah,0,Rendah,0,2
1200000000.0,Rumah 2lantai di bekasi kota deket tol bekasi timur,Bekasi, Bekasi,"AC,  Ac, Track Lari,  Akses Parkir,  One Gate System,  Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang,  Taman,  Tempat Laundry,  CCTV, Taman,  Playground, Jogging Track,  Masjid,  Keamanan",rumah,3.0,2.0,120.0,90.0,2.0,shm - sertifikat hak milik,2200 mah,0.0,0.0,2.0,0.0,2022.0,baru,barat,0.0,semi furnished,Rendah,0,Sedang,2,0
280000000.0,Rumah Baru Minimalis Modern Strategis,Bekasi, Bekasi,"Tempat Jemuran, Lapangan Bulu Tangkis, Lapangan Tenis,  Akses Parkir,  One Gate System, Masjid, Keamanan 24 jam,  Taman,  Tempat Laundry,  CCTV,  Playground, Wastafel, CCTV, Jalur Telepon,  Track Lari",rumah,2.0,1.0,70.0,40.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,timur,1.0,semi furnished,Rendah,0,Rendah,0,2
999000000.0,Rumah 2 Lantai Luas Modern,Bekasi, Bekasi,"Tempat Jemuran, Track Lari,  Akses Parkir,  One Gate System, Masjid, Keamanan 24 jam,  Taman,  Tempat Laundry,  CCTV,  Playground, Wastafel, AC, Jalur Telepon",rumah,6.0,2.0,127.0,190.0,1.0,shm - sertifikat hak milik,3500 mah,1.0,1.0,2.0,1.0,2021.0,bagus,selatan,1.0,semi furnished,Rendah,0,Tinggi,3,1
1500000000.0,Rumah 2 Lantai Bagus Murah Di Jatikramat,Bekasi, Bekasi,"Lapangan Tenis,  AC, Masjid,  Lapangan Bulu Tangkis, Kulkas, Wastafel,  Pemanas Air, Jalur Telepon, Tempat Jemuran, Lapangan Bola,  Akses Parkir,  One Gate System,  Lapangan Voli, Keamanan 24 jam,  Taman,  Tempat Laundry,  Playground,  Kolam Ikan,  Lapangan Basket,  Kitchen Set,  Mesin Cuci,  Track Lari",rumah,3.0,2.0,100.0,136.0,1.0,shm - sertifikat hak milik,1300 mah,1.0,1.0,2.0,0.0,2022.0,bagus,timur,1.0,semi furnished,Rendah,0,Sedang,2,1
870000000.0,Rumah 2 Lantai Baru di Bekasi Timur Regensi 2,Bekasi, Bekasi,"Tempat Jemuran, Taman, Wastafel",rumah,3.0,1.0,90.0,80.0,1.0,shm - sertifikat hak milik,2200 mah,0.0,0.0,2.0,0.0,2022.0,baru,selatan,0.0,unfurnished,Rendah,0,Rendah,0,0
275000000.0,Rumah praktis ekonomis dah dirilis biar laris,Bekasi, Bekasi," Jalur Telepon,  Ac,  Jogging Track, Track Lari, Masjid, Keamanan 24 jam,  Taman, Taman, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",rumah,2.0,1.0,60.0,36.0,1.0,shm - sertifikat hak milik,lainnya mah,0.0,0.0,1.0,0.0,2022.0,baru,selatan,1.0,semi furnished,Rendah,0,Rendah,0,2
300000000.0,Rumah Modern Classik Berkwalitas,Bekasi, Bekasi,"Tempat Jemuran, Track Lari,  Akses Parkir,  One Gate System,  Kolam Renang, Masjid, Keamanan 24 jam,  Taman,  Tempat Laundry,  CCTV,  Playground, Wastafel, Jalur Telepon",rumah,2.0,2.0,70.0,70.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,1.0,2021.0,bagus,timur,1.0,semi furnished,Rendah,0,Rendah,0,3
495000000.0,Rumah sudah SHM Baru siap huni termurah di Bekasi,Bekasi, Bekasi," Jalur Telepon,  Jogging Track, Track Lari,  Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang,  Taman,  CCTV, Ac, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",rumah,2.0,1.0,86.0,45.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,barat laut,1.0,semi furnished,Rendah,0,Rendah,0,2
1500000000.0,Rumah 2 Lantai sudah SHM termurah di Bekasi,Bekasi, Bekasi," Jalur Telepon,  Ac,  Kolam Renang,  Taman, Jogging Track,  Masjid, CCTV,  Keamanan",rumah,4.0,3.0,100.0,136.0,2.0,shm - sertifikat hak milik,2200 mah,1.0,1.0,2.0,0.0,2022.0,baru,selatan,2.0,semi furnished,Rendah,0,Sedang,2,1
300000000.0,Rumah exclusive fasilitas smart home,Setu, Bekasi," Jogging Track, Taman,  Masjid, CCTV,  Keamanan",rumah,2.0,1.0,60.0,36.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,selatan,1.0,unfurnished,Rendah,0,Rendah,0,2
350000000.0,Rumah Siap Huni Strategis di Setu Bekasi,Setu, Bekasi,"Tempat Jemuran,  Jogging Track, Lapangan Bola, Track Lari, Keamanan 24 jam, Kulkas, Taman,  Playground, One Gate System, Keamanan",rumah,2.0,1.0,60.0,38.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,1.0,1.0,0.0,2022.0,baru,selatan,0.0,unfurnished,Rendah,0,Rendah,0,2
351000000.0,Rumah Baru Siap Huni 1 lantai di dekat Terminal Cileungsi Bogor,Setu, Bekasi,"Tempat Jemuran, Lapangan Bola, Keamanan 24 jam, One Gate System, Keamanan",rumah,2.0,1.0,60.0,38.0,1.0,hgb - hak guna bangunan,1300 mah,0.0,0.0,1.0,2.0,2020.0,baru,utara,0.0,unfurnished,Rendah,0,Rendah,0,3
393000000.0,Cluster Exclusive dengan Smart Home System,Setu, Bekasi,"Masjid, Playground, Track Lari, Jogging Track",rumah,2.0,1.0,60.0,36.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,bagus,selatan,0.0,unfurnished,Rendah,0,Rendah,0,2
392000000.0,Cluster siap huni minimalis modern,Setu, Bekasi,Tempat Jemuran,rumah,2.0,1.0,72.0,36.0,1.0,hgb - hak guna bangunan,1300 mah,0.0,0.0,1.0,1.0,2021.0,baru,utara,0.0,unfurnished,Rendah,0,Rendah,0,3
440000000.0,Rumah Kondisi Baru Dikomplek Cluster Tengah Kota Bekasi Tepatnya Dicimuning Bekasi Timur Rumah Idaman Dibekasi Ini Harga Murah Dgn Kualitas Bagus,Setu, Bekasi,"Tempat Jemuran,  Akses Parkir,  One Gate System, Masjid, Kitchen Set, Keamanan 24 jam, Wastafel, Jalur Telepon",rumah,2.0,1.0,66.0,36.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,1.0,2021.0,baru,timur,1.0,semi furnished,Rendah,0,Rendah,0,3
351000000.0,Rumah Baru 1 Lantai Kawasan Cileungsi dekat Obyek wisata Mekarsari Jawa Barat,Setu, Bekasi,"Tempat Jemuran, Lapangan Bola, Keamanan",rumah,2.0,1.0,60.0,38.0,1.0,hgb - hak guna bangunan,1300 mah,0.0,0.0,1.0,2.0,2020.0,baru,utara,0.0,unfurnished,Rendah,0,Rendah,0,3
400999999.9999999,Rumah Cluster One Gate Sistem Minimalis Cibening Setu Bekasi,Setu, Bekasi," Jogging Track, Taman,  Masjid, Jalur Telepon,  Keamanan",rumah,2.0,1.0,66.0,38.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,utara,0.0,semi furnished,Rendah,0,Rendah,0,2
342000000.0000001,"Rumah cantik di Bekasi,Cibitung,DP 0%,1JT ALL-IN,FREE SURAT²DP0%",Harapan Indah, Bekasi,"Tempat Jemuran,  Taman,  CCTV, Taman, Ac, Wastafel, AC, CCTV,  Keamanan",rumah,2.0,1.0,36.0,63.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,selatan,1.0,unfurnished,Rendah,0,Rendah,0,2
327000000.0,"Rumah Cantik di Bekasi Dekat StBekasi,DP 0%CUMA 1JT ALL-IN,READY",Harapan Indah, Bekasi,"Tempat Jemuran,  Ac,  CCTV, Taman, Wastafel, AC, Keamanan",rumah,2.0,1.0,36.0,60.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,1.0,0.0,2022.0,baru,timur,1.0,unfurnished,Rendah,0,Rendah,0,2
779000000.0,Rumah 2 Lantai SHM eksklusif dekat tol Cakung,Harapan Indah, Bekasi,"Tempat Jemuran,  Akses Parkir,  One Gate System, Masjid, Keamanan 24 jam,  Taman,  CCTV,  Playground, Wastafel,  Masjid, CCTV, Jalur Telepon,  Keamanan",rumah,3.0,2.0,54.0,63.0,1.0,shm - sertifikat hak milik,2200 mah,0.0,0.0,2.0,0.0,2022.0,baru,utara,0.0,unfurnished,Rendah,0,Rendah,0,0
1750000000.0,"Rumah 2 Lantai, SHM, Baru, hadap timur, siap huni di cluster balsa, green ara, kota harapan indah, bekasi",Harapan Indah, Bekasi,"Tempat Jemuran, Lapangan Bulu Tangkis,  One Gate System, Keamanan 24 jam, Taman,  Playground, Wastafel, Keamanan",rumah,2.0,2.0,179.0,56.0,1.0,shm - sertifikat hak milik,2200 mah,0.0,0.0,2.0,2.0,2020.0,baru,timur,0.0,unfurnished,Rendah,0,Rendah,0,3
970000000.0,Rumah 2 Lantai Tanpa Dp Di Tarumajaya Dekat Harapan Indah,Harapan Indah, Bekasi,"Masjid, Taman",rumah,3.0,2.0,53.0,63.0,1.0,shm - sertifikat hak milik,1300 mah,0.0,0.0,2.0,0.0,2022.0,baru,selatan,0.0,semi furnished,Rendah,0,Rendah,0,0
